(1239, 538) (1484, 848) (1484, 538) (1729, 848)
(1242, 538) (1487, 848) (1487, 538) (1732, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1239, 539) (1484, 849) (1484, 539) (1729, 849)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 539) (1486, 849) (1486, 539) (1731, 849)
(1241, 539) (1486, 849) (1486, 539) (1731, 849)
(1239, 538) (1484, 848) (1484, 538) (1729, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1240, 539) (1485, 849) (1485, 539) (1730, 849)
(1243, 539) (1488, 849) (1488, 539) (1733, 849)
(1240, 544) (1485, 854) (1485, 544) (1730, 854)
(1243, 539) (1488, 849) (1488, 539) (1733, 849)
(1243, 539) (1488, 849) (1488, 539) (1733, 849)
(1241, 539) (1486, 849) (1486, 539) (1731, 849)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1243, 539) (1488, 849) (1488, 539) (1733, 849)
(1242, 538) (1487, 848) (1487, 538) (1732, 848)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1242, 536) (1487, 846) (1487, 536) (1732, 846)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1243, 539) (1488, 849) (1488, 539) (1733, 849)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1242, 538) (1487, 848) (1487, 538) (1732, 848)
(1243, 538) (1488, 848) (1488, 538) (1733, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1240, 537) (1485, 847) (1485, 537) (1730, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1242, 538) (1487, 848) (1487, 538) (1732, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1242, 538) (1487, 848) (1487, 538) (1732, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1242, 539) (1487, 849) (1487, 539) (1732, 849)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1240, 536) (1485, 846) (1485, 536) (1730, 846)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
