(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1240, 547) (1485, 857) (1485, 547) (1730, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 546) (1484, 856) (1484, 546) (1729, 856)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 546) (1484, 856) (1484, 546) (1729, 856)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 546) (1484, 856) (1484, 546) (1729, 856)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 546) (1484, 856) (1484, 546) (1729, 856)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1240, 546) (1485, 856) (1485, 546) (1730, 856)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 546) (1484, 856) (1484, 546) (1729, 856)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1253, 557) (1498, 867) (1498, 557) (1743, 867)
(1253, 556) (1498, 866) (1498, 556) (1743, 866)
(1252, 558) (1497, 868) (1497, 558) (1742, 868)
(1253, 558) (1498, 868) (1498, 558) (1743, 868)
(1248, 553) (1493, 863) (1493, 553) (1738, 863)
(1251, 556) (1496, 866) (1496, 556) (1741, 866)
(1251, 558) (1496, 868) (1496, 558) (1741, 868)
0
(1250, 559) (1495, 869) (1495, 559) (1740, 869)
(1247, 556) (1492, 866) (1492, 556) (1737, 866)
(1247, 558) (1492, 868) (1492, 558) (1737, 868)
(1248, 561) (1493, 871) (1493, 561) (1738, 871)
(1249, 561) (1494, 871) (1494, 561) (1739, 871)
(1249, 561) (1494, 871) (1494, 561) (1739, 871)
(1249, 558) (1494, 868) (1494, 558) (1739, 868)
(1249, 560) (1494, 870) (1494, 560) (1739, 870)
(1250, 556) (1495, 866) (1495, 556) (1740, 866)
0
(1253, 559) (1498, 869) (1498, 559) (1743, 869)
(1251, 555) (1496, 865) (1496, 555) (1741, 865)
(1249, 555) (1494, 865) (1494, 555) (1739, 865)
(1245, 553) (1490, 863) (1490, 553) (1735, 863)
(1248, 555) (1493, 865) (1493, 555) (1738, 865)
(1251, 552) (1496, 862) (1496, 552) (1741, 862)
(1249, 551) (1494, 861) (1494, 551) (1739, 861)
0
(1253, 551) (1498, 861) (1498, 551) (1743, 861)
(1256, 552) (1501, 862) (1501, 552) (1746, 862)
(1249, 553) (1494, 863) (1494, 553) (1739, 863)
(1253, 550) (1498, 860) (1498, 550) (1743, 860)
(1255, 551) (1500, 861) (1500, 551) (1745, 861)
(1253, 552) (1498, 862) (1498, 552) (1743, 862)
(1256, 558) (1501, 868) (1501, 558) (1746, 868)
(1249, 548) (1494, 858) (1494, 548) (1739, 858)
(1249, 552) (1494, 862) (1494, 552) (1739, 862)
(1251, 551) (1496, 861) (1496, 551) (1741, 861)
(1263, 551) (1508, 861) (1508, 551) (1753, 861)
(1253, 545) (1498, 855) (1498, 545) (1743, 855)
(1253, 546) (1498, 856) (1498, 546) (1743, 856)
(1243, 547) (1488, 857) (1488, 547) (1733, 857)
(1251, 550) (1496, 860) (1496, 550) (1741, 860)
(1242, 543) (1487, 853) (1487, 543) (1732, 853)
(1248, 545) (1493, 855) (1493, 545) (1738, 855)
(1245, 545) (1490, 855) (1490, 545) (1735, 855)
(1250, 546) (1495, 856) (1495, 546) (1740, 856)
(1245, 546) (1490, 856) (1490, 546) (1735, 856)
(1245, 547) (1490, 857) (1490, 547) (1735, 857)
(1243, 544) (1488, 854) (1488, 544) (1733, 854)
(1247, 546) (1492, 856) (1492, 546) (1737, 856)
(1253, 548) (1498, 858) (1498, 548) (1743, 858)
(1257, 547) (1502, 857) (1502, 547) (1747, 857)
(1243, 542) (1488, 852) (1488, 542) (1733, 852)
(1242, 539) (1487, 849) (1487, 539) (1732, 849)
(1239, 539) (1484, 849) (1484, 539) (1729, 849)
(1238, 537) (1483, 847) (1483, 537) (1728, 847)
(1242, 540) (1487, 850) (1487, 540) (1732, 850)
(1241, 540) (1486, 850) (1486, 540) (1731, 850)
(1239, 539) (1484, 849) (1484, 539) (1729, 849)
(1237, 538) (1482, 848) (1482, 538) (1727, 848)
(1240, 540) (1485, 850) (1485, 540) (1730, 850)
(1241, 541) (1486, 851) (1486, 541) (1731, 851)
(1237, 535) (1482, 845) (1482, 535) (1727, 845)
(1237, 538) (1482, 848) (1482, 538) (1727, 848)
(1239, 540) (1484, 850) (1484, 540) (1729, 850)
(1239, 541) (1484, 851) (1484, 541) (1729, 851)
(1237, 541) (1482, 851) (1482, 541) (1727, 851)
(1241, 542) (1486, 852) (1486, 542) (1731, 852)
(1239, 544) (1484, 854) (1484, 544) (1729, 854)
(1239, 544) (1484, 854) (1484, 544) (1729, 854)
(1241, 545) (1486, 855) (1486, 545) (1731, 855)
(1243, 544) (1488, 854) (1488, 544) (1733, 854)
(1248, 546) (1493, 856) (1493, 546) (1738, 856)
(1245, 548) (1490, 858) (1490, 548) (1735, 858)
(1249, 548) (1494, 858) (1494, 548) (1739, 858)
(1259, 548) (1504, 858) (1504, 548) (1749, 858)
(1242, 549) (1487, 859) (1487, 549) (1732, 859)
(1241, 545) (1486, 855) (1486, 545) (1731, 855)
(1241, 544) (1486, 854) (1486, 544) (1731, 854)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1241, 542) (1486, 852) (1486, 542) (1731, 852)
(1091, 423) (1336, 733) (1336, 423) (1581, 733)
(1091, 419) (1336, 729) (1336, 419) (1581, 729)
(1091, 418) (1336, 728) (1336, 418) (1581, 728)
(1091, 425) (1336, 735) (1336, 425) (1581, 735)
(1092, 420) (1337, 730) (1337, 420) (1582, 730)
(1091, 417) (1336, 727) (1336, 417) (1581, 727)
(1099, 418) (1344, 728) (1344, 418) (1589, 728)
0
(1095, 413) (1340, 723) (1340, 413) (1585, 723)
(1095, 415) (1340, 725) (1340, 415) (1585, 725)
(1096, 415) (1341, 725) (1341, 415) (1586, 725)
(1095, 416) (1340, 726) (1340, 416) (1585, 726)
(1094, 416) (1339, 726) (1339, 416) (1584, 726)
(1095, 417) (1340, 727) (1340, 417) (1585, 727)
(1098, 416) (1343, 726) (1343, 416) (1588, 726)
(1095, 415) (1340, 725) (1340, 415) (1585, 725)
(1099, 423) (1344, 733) (1344, 423) (1589, 733)
0
(1093, 419) (1338, 729) (1338, 419) (1583, 729)
(1095, 418) (1340, 728) (1340, 418) (1585, 728)
(1093, 421) (1338, 731) (1338, 421) (1583, 731)
(1095, 419) (1340, 729) (1340, 419) (1585, 729)
(1095, 418) (1340, 728) (1340, 418) (1585, 728)
(1094, 417) (1339, 727) (1339, 417) (1584, 727)
(1095, 417) (1340, 727) (1340, 417) (1585, 727)
(1094, 418) (1339, 728) (1339, 418) (1584, 728)
(1095, 415) (1340, 725) (1340, 415) (1585, 725)
(1095, 418) (1340, 728) (1340, 418) (1585, 728)
(1093, 418) (1338, 728) (1338, 418) (1583, 728)
(1091, 417) (1336, 727) (1336, 417) (1581, 727)
(1092, 420) (1337, 730) (1337, 420) (1582, 730)
(1093, 419) (1338, 729) (1338, 419) (1583, 729)
(1091, 423) (1336, 733) (1336, 423) (1581, 733)
(1092, 417) (1337, 727) (1337, 417) (1582, 727)
(1091, 419) (1336, 729) (1336, 419) (1581, 729)
(1092, 416) (1337, 726) (1337, 416) (1582, 726)
(1091, 418) (1336, 728) (1336, 418) (1581, 728)
(1092, 417) (1337, 727) (1337, 417) (1582, 727)
(1091, 418) (1336, 728) (1336, 418) (1581, 728)
(1091, 418) (1336, 728) (1336, 418) (1581, 728)
(1091, 417) (1336, 727) (1336, 417) (1581, 727)
(1091, 417) (1336, 727) (1336, 417) (1581, 727)
(1091, 418) (1336, 728) (1336, 418) (1581, 728)
(1091, 418) (1336, 728) (1336, 418) (1581, 728)
(1089, 418) (1334, 728) (1334, 418) (1579, 728)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 420) (1334, 730) (1334, 420) (1579, 730)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 421) (1334, 731) (1334, 421) (1579, 731)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 418) (1334, 728) (1334, 418) (1579, 728)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1089, 419) (1334, 729) (1334, 419) (1579, 729)
(1090, 419) (1335, 729) (1335, 419) (1580, 729)
(1089, 420) (1334, 730) (1334, 420) (1579, 730)
(1090, 420) (1335, 730) (1335, 420) (1580, 730)
(1090, 421) (1335, 731) (1335, 421) (1580, 731)
(1093, 423) (1338, 733) (1338, 423) (1583, 733)
(1091, 424) (1336, 734) (1336, 424) (1581, 734)
(1092, 422) (1337, 732) (1337, 422) (1582, 732)
(1093, 423) (1338, 733) (1338, 423) (1583, 733)
(1094, 424) (1339, 734) (1339, 424) (1584, 734)
(1093, 425) (1338, 735) (1338, 425) (1583, 735)
(1094, 422) (1339, 732) (1339, 422) (1584, 732)
(1093, 421) (1338, 731) (1338, 421) (1583, 731)
(1095, 421) (1340, 731) (1340, 421) (1585, 731)
(1095, 424) (1340, 734) (1340, 424) (1585, 734)
(1089, 409) (1334, 719) (1334, 409) (1579, 719)
(1089, 415) (1334, 725) (1334, 415) (1579, 725)
(1089, 414) (1334, 724) (1334, 414) (1579, 724)
(1089, 415) (1334, 725) (1334, 415) (1579, 725)
(1089, 416) (1334, 726) (1334, 416) (1579, 726)
